S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
164,Godfather,Action,120.0,90.0,65.0,5.1,20,119.09
165,Magadheera,Action,40.0,100.0,57.14,7.7,0.7,150.0
166,Virata Parvam,Action,15.0,50.0,50.5,6.7,10,12.0
167,Macherla Niyojakavargam,Action,30.0,0.0,29.0,4.5,23,16.65
168,Gandeevadhari Arjuna,Action,46.0,14.29,33.0,5.4,10,3.0
169,Indra,Action,8.0,75.0,60.0,7.5,0.189,53.0
170,The Ghost,Action,6.0,14.29,65.0,5.1,12,12.17
171,Krishnarjuna Yudham,Action,20.0,40.0,65.0,5.8,6.9,14.8
172,Simhadri,Action,8.5,100.0,51.72,7.3,0.68,30.0
173,Raja the great,Action,30.0,100.0,52.5,6.3,7.1,52.0
174,Aditya 369,Action,1.52,75.0,60.0,8.4,0.017,9.0
175,Oosaravelli,Action,25.0,60.0,51.72,6.5,0.082,57.0
176,Rachcha,Action,50.0,60.0,57.14,4.5,0.433,44.78
177,Bhaje Vaayu Vegam,Action,15.0,100.0,30.0,6.1,6.1,7.2
178,Parugu,Action,1.15,50.0,52.63,7.1,0.042,20.0
179,Khaidi No. 150,Action,50.0,70.6,65.0,5.8,10,164.0
180,Panjaa,Action,33.0,55.6,55.0,6.5,0.324,50.0
181,Dasara,Action,65.0,100.0,65.0,6.6,15,62.99
182,Bhadra,Action,6.0,60.0,52.5,6.8,0.041,21.0
183,"Naa Peru Surya, Naa Illu India",Action,55.0,43.0,52.63,6.7,12,85.0
184,Vinaya Vidheya Rama,Action,70.0,60.0,57.14,3.3,38,62.6
185,Touch Chesi Chudu,Action,15.0,0.0,52.5,4.7,4.7,19.0
186,Legend,Action,40.0,60.0,60.0,6.2,3.3,88.0
187,Veera Simha Reddy,Action,100.0,71.0,60.0,4.8,25,134.0
188,Acharya,Action,140.0,83.0,61.07,3.8,38,76.7
189,Rebel,Action,40.0,72.0,42.725,4.9,0.29,104.0
190,Don,Action,16.85,86.0,65.0,5.8,2.6,20.0
191,Marco,Action,30.0,100.0,60.0,6.8,12.3,100.0
192,Arjun S/O Vijayanthi,Action,100.0,100.0,25.0,6.1,12.3,15.0
193,Major,Action,32.0,100.0,80.0,8.1,14,64.0
